KovidKenney 1001228776032763905.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
LabourHypocrisy 1001848891401220096.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
bced 1001903494389944320.hashtags   436.44444444444444605831 1.00000000000000000000 .00229124236252545824 1 1 9 3928 
JusticeMatters 1003107003693137921.hashtags   654.66666666666667051610 1.00000000000000000000 .00152749490835030549 2 2 6 3928 
JusticeMatters 1003107003693137921.hashtags   654.66666666666667051610 1.00000000000000000000 .00152749490835030549 2 2 6 3928 
COVID19 1004065528871247872.hashtags   19.25490196078431372748 1.00000000000000000000 .05193482688391038696 1 1 204 3928 
ScammingRefugees 1004270117298102273.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
"yycbike,yycbike" 1004484314.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
"Nurses,HealthCareWorkers" 10046442.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
"climate,FreedomConvoy" 1004694289.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
MSM 1004894980962336768.hashtags   392.80000000000000076674 1.00000000000000000000 .00254582484725050916 1 1 10 3928 
corsirosenthalbox 1005148131091275777.hashtags   491.00000000000000047627 1.00000000000000000000 .00203665987780040733 1 1 8 3928 
NHS 100545608.hashtags   135.44827586206896567155 1.00000000000000000000 .00738289205702647657 1 1 29 3928 
Tuckyorose 1005846500583321601.hashtags   982.00000000000002506064 .25000000000000000000 .00025458248472505091 1 4 1 3928 
"Russian,Moscow" 1005846500583321601.hashtags   982.00000000000002506064 .25000000000000000000 .00025458248472505091 1 4 1 3928 
IStandWithUkraine 1005846500583321601.hashtags   57.76470588235294118245 .25000000000000000000 .00432790224032586558 1 4 17 3928 
"SlavaUkraini,BeFierce" 1005846500583321601.hashtags   982.00000000000002506064 .25000000000000000000 .00025458248472505091 1 4 1 3928 
vanre 1006135342355959808.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
